,address,roadName,latitude,longitude
125,Xinmin Primary School,HOUGANG AVENUE 8,1.371414726,103.88303909999999
126,Xishan Primary School,YISHUN STREET 21,1.433501455,103.83828929999999
127,Yangzheng Primary School,SERANGOON AVENUE 3,1.348972024,103.8683625
128,Yew Tee Primary School,CHOA CHU KANG STREET 64,1.396961392,103.7511946
129,Yio Chu Kang Primary School,HOUGANG STREET 51,1.3778227090000001,103.88556870000001
130,Yishun Primary School,YISHUN RING ROAD,1.433496399,103.83402740000001
131,Yu Neng Primary School,BEDOK NORTH STREET 3,1.3339038090000002,103.9320341
132,Yuhua Primary School,JURONG EAST STREET 24,1.3429198180000002,103.74086109999999
133,Yumin Primary School,TAMPINES STREET 21,1.3514596030000001,103.9507161
134,Zhangde Primary School,JALAN MEMBINA,1.28449822,103.826149
135,Zhenghua Primary School,FAJAR ROAD,1.3798023609999999,103.7691708
136,Zhonghua Primary School,SERANGOON AVENUE 4,1.360166735,103.8696959
